Type,Username,Email,Password,RegionCode,IsVerified,Title,Description,Genre,Price,Publisher,IsActive,Tags,UserIndex,GameIndex,Status,CurrentLevel,ScoreCurrent,DeviceOs,ClientVersion,StartedAtOffsetHours,EndedAtOffsetHours,SessionIndex,EventType,SeverityLevel,IpAddress,LatencyMs,StateSnapshot
User,alice,alice@example.com,pass1,US,true,,,,,,,,,,,,,,,,,,,,,,
User,bob,bob@example.com,pass2,GB,false,,,,,,,,,,,,,,,,,,,,,,
User,charlie,charlie@example.com,pass3,DE,true,,,,,,,,,,,,,,,,,,,,,,
User,diana,diana@example.com,pass4,FR,false,,,,,,,,,,,,,,,,,,,,,,
User,eve,eve@example.com,pass5,JP,true,,,,,,,,,,,,,,,,,,,,,,
User,frank,frank@example.com,pass6,CA,true,,,,,,,,,,,,,,,,,,,,,,
User,grace,grace@example.com,pass7,AU,false,,,,,,,,,,,,,,,,,,,,,,
User,henry,henry@example.com,pass8,BR,true,,,,,,,,,,,,,,,,,,,,,,
User,iris,iris@example.com,pass9,IN,true,,,,,,,,,,,,,,,,,,,,,,
User,jack,jack@example.com,pass10,CN,false,,,,,,,,,,,,,,,,,,,,,,
User,kate,kate@example.com,pass11,KR,true,,,,,,,,,,,,,,,,,,,,,,
User,liam,liam@example.com,pass12,MX,false,,,,,,,,,,,,,,,,,,,,,,
User,mia,mia@example.com,pass13,IT,true,,,,,,,,,,,,,,,,,,,,,,
User,noah,noah@example.com,pass14,ES,false,,,,,,,,,,,,,,,,,,,,,,
User,olivia,olivia@example.com,pass15,NL,true,,,,,,,,,,,,,,,,,,,,,,
User,peter,peter@example.com,pass16,SE,true,,,,,,,,,,,,,,,,,,,,,,
User,quinn,quinn@example.com,pass17,NO,false,,,,,,,,,,,,,,,,,,,,,,
User,rose,rose@example.com,pass18,PL,true,,,,,,,,,,,,,,,,,,,,,,
User,sam,sam@example.com,pass19,PT,false,,,,,,,,,,,,,,,,,,,,,,
User,tina,tina@example.com,pass20,RU,true,,,,,,,,,,,,,,,,,,,,,,
User,uma,uma@example.com,pass21,ZA,false,,,,,,,,,,,,,,,,,,,,,,
User,victor,victor@example.com,pass22,AR,true,,,,,,,,,,,,,,,,,,,,,,
User,wendy,wendy@example.com,pass23,CL,false,,,,,,,,,,,,,,,,,,,,,,
User,xander,xander@example.com,pass24,TR,true,,,,,,,,,,,,,,,,,,,,,,
User,yara,yara@example.com,pass25,EG,true,,,,,,,,,,,,,,,,,,,,,,
User,zoe,zoe@example.com,pass26,NG,false,,,,,,,,,,,,,,,,,,,,,,
User,aaron,aaron@example.com,pass27,PH,true,,,,,,,,,,,,,,,,,,,,,,
User,bella,bella@example.com,pass28,TH,false,,,,,,,,,,,,,,,,,,,,,,
User,carlos,carlos@example.com,pass29,VN,true,,,,,,,,,,,,,,,,,,,,,,
User,daisy,daisy@example.com,pass30,UA,true,,,,,,,,,,,,,,,,,,,,,,
User,ethan,ethan@example.com,pass31,CZ,false,,,,,,,,,,,,,,,,,,,,,,
User,fiona,fiona@example.com,pass32,HU,true,,,,,,,,,,,,,,,,,,,,,,
User,gavin,gavin@example.com,pass33,RO,false,,,,,,,,,,,,,,,,,,,,,,
User,hana,hana@example.com,pass34,GR,true,,,,,,,,,,,,,,,,,,,,,,
User,ivan,ivan@example.com,pass35,FI,true,,,,,,,,,,,,,,,,,,,,,,
User,julia,julia@example.com,pass36,DK,false,,,,,,,,,,,,,,,,,,,,,,
User,kyle,kyle@example.com,pass37,IE,true,,,,,,,,,,,,,,,,,,,,,,
User,luna,luna@example.com,pass38,NZ,false,,,,,,,,,,,,,,,,,,,,,,
User,mike,mike@example.com,pass39,SG,true,,,,,,,,,,,,,,,,,,,,,,
User,nora,nora@example.com,pass40,HK,true,,,,,,,,,,,,,,,,,,,,,,
User,oscar,oscar@example.com,pass41,TW,false,,,,,,,,,,,,,,,,,,,,,,
User,penny,penny@example.com,pass42,MY,true,,,,,,,,,,,,,,,,,,,,,,
User,ray,ray@example.com,pass43,ID,false,,,,,,,,,,,,,,,,,,,,,,
User,sara,sara@example.com,pass44,PK,true,,,,,,,,,,,,,,,,,,,,,,
User,tom,tom@example.com,pass45,BD,false,,,,,,,,,,,,,,,,,,,,,,
User,ursula,ursula@example.com,pass46,IL,true,,,,,,,,,,,,,,,,,,,,,,
User,vince,vince@example.com,pass47,AE,true,,,,,,,,,,,,,,,,,,,,,,
User,wren,wren@example.com,pass48,SA,false,,,,,,,,,,,,,,,,,,,,,,
User,xavier,xavier@example.com,pass49,QA,true,,,,,,,,,,,,,,,,,,,,,,
User,yvonne,yvonne@example.com,pass50,KW,false,,,,,,,,,,,,,,,,,,,,,,
Game,,,,,,Space Quest,,Adventure,19.99,Acme Games,true,space|adventure,,,,,,,,,,,,,,,
Game,,,,,,Dragon Siege,,Strategy,29.99,Dragon Soft,true,strategy|fantasy,,,,,,,,,,,,,,,
Game,,,,,,Neon Racer,,Racing,14.99,Speed Studio,true,racing|neon,,,,,,,,,,,,,,,
Game,,,,,,Zombie Town,,Horror,9.99,Dark Dev,false,zombie|horror,,,,,,,,,,,,,,,
Game,,,,,,Pixel Farm,,Simulation,4.99,Indie Works,true,simulation|pixel,,,,,,,,,,,,,,,
Game,,,,,,Galaxy Drift,,Shooter,24.99,Star Labs,true,shooter|space,,,,,,,,,,,,,,,
Game,,,,,,Castle Siege,,Strategy,34.99,Fortress Dev,true,strategy|castle,,,,,,,,,,,,,,,
Game,,,,,,Mystic Forest,,RPG,19.99,Elfwood Studios,true,rpg|fantasy,,,,,,,,,,,,,,,
Game,,,,,,Cyber Punk 3D,,Action,39.99,Neo Corp,true,action|cyberpunk,,,,,,,,,,,,,,,
Game,,,,,,Ocean Explorer,,Simulation,12.99,Blue Wave,true,simulation|ocean,,,,,,,,,,,,,,,
Game,,,,,,Shadow Hunter,,Action,22.99,Dark Arts,true,action|stealth,,,,,,,,,,,,,,,
Game,,,,,,Turbo Kart,,Racing,9.99,Speed Works,true,racing|kart,,,,,,,,,,,,,,,
Game,,,,,,Ice Kingdom,,Puzzle,6.99,Frosty Games,false,puzzle|ice,,,,,,,,,,,,,,,
Game,,,,,,Dungeon Crawl,,RPG,17.99,Cave Dev,true,rpg|dungeon,,,,,,,,,,,,,,,
Game,,,,,,Sky Empire,,Strategy,44.99,Cloud Nine,true,strategy|air,,,,,,,,,,,,,,,
Game,,,,,,Blood Arena,,Fighting,29.99,Crimson Dev,false,fighting|arena,,,,,,,,,,,,,,,
Game,,,,,,Lost Planet,,Adventure,21.99,Cosmos Soft,true,adventure|sci-fi,,,,,,,,,,,,,,,
Game,,,,,,Candy Rush,,Casual,1.99,Sweet Dev,true,casual|candy,,,,,,,,,,,,,,,
Game,,,,,,Iron Fortress,,Strategy,32.99,Steel Games,true,strategy|tower-defense,,,,,,,,,,,,,,,
Game,,,,,,Ghost Recon X,,Shooter,38.99,Phantom Labs,true,shooter|tactical,,,,,,,,,,,,,,,
Game,,,,,,Harvest Moon 2,,Simulation,15.99,Farmland Dev,true,simulation|farming,,,,,,,,,,,,,,,
Game,,,,,,Sonic Dash Plus,,Arcade,3.99,Sprint Games,true,arcade|runner,,,,,,,,,,,,,,,
Game,,,,,,Magic Tower,,Puzzle,8.99,Arcane Dev,false,puzzle|magic,,,,,,,,,,,,,,,
Game,,,,,,Warlords,,Strategy,27.99,Conquest Soft,true,strategy|war,,,,,,,,,,,,,,,
Game,,,,,,Deep Sea,,Horror,11.99,Abyss Studios,true,horror|underwater,,,,,,,,,,,,,,,
Game,,,,,,Dino World,,Simulation,18.99,Jurassic Dev,true,simulation|dinosaur,,,,,,,,,,,,,,,
Game,,,,,,Street Fighter Z,,Fighting,35.99,Brawl Corp,true,fighting|street,,,,,,,,,,,,,,,
Game,,,,,,Arctic Survival,,Adventure,23.99,Frost Dev,true,adventure|survival,,,,,,,,,,,,,,,
Game,,,,,,Mech Battle,,Action,41.99,Titan Works,true,action|mech,,,,,,,,,,,,,,,
Game,,,,,,Fairy Tale,,RPG,13.99,Dream Soft,false,rpg|fairy-tale,,,,,,,,,,,,,,,
Game,,,,,,Space Pirates,,Shooter,26.99,Orbit Games,true,shooter|pirate,,,,,,,,,,,,,,,
Game,,,,,,Chess Master,,Puzzle,4.99,Mind Games,true,puzzle|chess,,,,,,,,,,,,,,,
Game,,,,,,Jungle Run,,Arcade,2.99,Safari Dev,true,arcade|jungle,,,,,,,,,,,,,,,
Game,,,,,,Volcano Island,,Adventure,20.99,Lava Soft,true,adventure|island,,,,,,,,,,,,,,,
Game,,,,,,Cyber Racers,,Racing,16.99,Digital Speed,true,racing|cyber,,,,,,,,,,,,,,,
Game,,,,,,Phantom Wars,,Shooter,33.99,Ghost Corp,true,shooter|war,,,,,,,,,,,,,,,
Game,,,,,,Witch Craft,,RPG,22.99,Coven Dev,false,rpg|witch,,,,,,,,,,,,,,,
Game,,,,,,Turbo Soccer,,Sports,14.99,Goal Works,true,sports|soccer,,,,,,,,,,,,,,,
Game,,,,,,Apocalypse Now,,Survival,28.99,Ruin Games,true,survival|apocalypse,,,,,,,,,,,,,,,
Game,,,,,,Sky Dancer,,Casual,0.99,Cloud Dev,true,casual|dance,,,,,,,,,,,,,,,
Game,,,,,,Robot Arena,,Fighting,37.99,Mech Studios,true,fighting|robot,,,,,,,,,,,,,,,
Game,,,,,,Ancient Egypt,,Puzzle,7.99,Pyramid Dev,true,puzzle|history,,,,,,,,,,,,,,,
Game,,,,,,Storm Chasers,,Simulation,10.99,Weather Games,false,simulation|weather,,,,,,,,,,,,,,,
Game,,,,,,Ninja Stealth,,Action,25.99,Shadow Dev,true,action|ninja,,,,,,,,,,,,,,,
Game,,,,,,Pirate Bay,,Adventure,17.99,Sea Soft,true,adventure|pirate,,,,,,,,,,,,,,,
Game,,,,,,Dragon Ball Z,,Fighting,31.99,Anime Games,true,fighting|anime,,,,,,,,,,,,,,,
Game,,,,,,Space Colony,,Strategy,36.99,Planet Corp,true,strategy|space,,,,,,,,,,,,,,,
Game,,,,,,Haunted House,,Horror,13.99,Ghost Dev,true,horror|haunted,,,,,,,,,,,,,,,
Game,,,,,,Extreme Sports,,Sports,20.99,X-treme Soft,true,sports|extreme,,,,,,,,,,,,,,,
Game,,,,,,Bubble Pop,,Casual,1.49,Burst Games,true,casual|bubble,,,,,,,,,,,,,,,
Session,,,,,,,,,,,,,0,0,Active,3,1500,Windows,1.0.0,-2,,,,,
Session,,,,,,,,,,,,,1,1,Completed,10,9800,macOS,1.1.0,-5,-1,,,,
Session,,,,,,,,,,,,,2,2,Paused,2,300,Linux,1.0.2,-1,,,,,
Session,,,,,,,,,,,,,3,3,Active,5,4200,Android,2.0.0,-0.5,,,,,
Session,,,,,,,,,,,,,4,4,Completed,7,7100,iOS,1.3.0,-3,-0.1667,,,,
Session,,,,,,,,,,,,,5,5,Active,1,200,Windows,2.0.1,-0.25,,,,,
